t,x_true,y_true,psi,v,a_cmd,omega_cmd,x_meas,y_meas
0.0,3.061616997868383e-17,-4.5,1.5707963267948966,5.0,0.0,0.0,-0.12521205891393825,-4.794970927917489
0.1,6.123233995736766e-17,-4.0,1.5707963267948966,5.0,0.0,0.0,-0.6803023392503115,-3.859454757523592
0.2,9.184850993605148e-17,-3.5,1.5707963267948966,5.0,0.0,0.0,0.18573462819085917,-3.782244341179532
0.30000000000000004,1.2246467991473532e-16,-3.0,1.5707963267948966,5.0,0.0,0.0,-0.45500068956264267,-2.8900576382502337
0.4,1.5308084989341916e-16,-2.5,1.5707963267948966,5.0,0.0,0.0,0.5880246914023908,-2.462422506819042
0.5,1.83697019872103e-16,-2.0,1.5707963267948966,5.0,0.0,0.0,-0.8196702648211562,-1.1557581312362335
0.6000000000000001,2.1431318985078683e-16,-1.5,1.5707963267948966,5.0,0.0,0.0,0.38949757037263627,-1.0573104183398985
0.7000000000000001,2.4492935982947064e-16,-1.0,1.5707963267948966,5.0,0.0,0.0,0.204288243039969,-1.0600278922202635
0.8,2.755455298081545e-16,-0.5,1.5707963267948966,5.0,0.0,0.0,0.9530140644367605,-0.01829953657339528
0.9,3.061616997868383e-16,0.0,1.5707963267948968,5.0,0.0,1.7763568394002505e-15,-2.007091250296347,0.5282023526064562
1.0,2.257555673030065e-16,0.5,1.2566370614359175,5.0,0.0,-3.1415926535897936,0.9140374183794591,0.025521293356132235
1.1,0.15450849718747386,0.9755282581475768,1.0019766244059458,5.0,0.0,-2.5466043702997165,0.6099850718526137,0.665178657364098
1.2000000000000002,0.4238274868742956,1.3967969156502085,0.7950464359808586,5.0,0.0,-2.069301884250873,1.1639683165066548,0.8670003617797596
1.3,0.7739532950389681,1.7537449769378908,0.6265987413573059,5.0,0.0,-1.6844769462355265,1.150953197703521,0.9764592652615712
1.4000000000000001,1.178966627186634,2.0469414993979034,0.4892921198744662,5.0,0.0,-1.3730662148283965,0.8962545178918568,1.5026157044830222
1.5,1.6202995193012015,2.281942091605224,0.3772530096709052,5.0,0.0,-1.1203911020356099,1.3958105812072128,1.740116183437306
1.6,2.085139542005416,2.466126111792496,0.2857554222257202,5.0,0.0,-0.9149758744518497,1.2439853474062335,2.6514572450493907
1.7000000000000002,2.564864035139619,2.607067272164944,0.21098117859357318,5.0,0.0,-0.7477424363214702,3.1506935273927725,2.6926310312226858
1.8,3.0537769889320616,2.711776983338019,0.14983652430188887,5.0,0.0,-0.611446542916843,2.9951535689063062,3.130584636985875
1.9000000000000001,3.548174736045489,2.786415228555652,0.0998094322331411,5.0,0.0,-0.5002709206874778,3.4150334875069146,2.6569272110049647
2.0,4.045686322166417,2.836237128112354,0.05885710805545625,5.0,0.0,-0.4095232417768484,4.435288459446433,3.3972462442214626
2.1,4.544820532353694,2.865648694216917,0.025316453437343296,5.0,0.0,-0.33540654618112953,4.579813155521683,2.597234923280177
2.2,5.044660310207809,2.878305568821203,-0.0021676893742541177,5.0,0.0,-0.2748414281159741,4.91711351755389,3.034134079608583
2.3000000000000003,5.544659135488963,2.877221724982885,-0.024700324147559235,5.0,0.0,-0.22532634773305116,6.25542019566659,1.5057962889882897
2.4000000000000004,6.044506616740335,2.8648728186888204,-0.04318299879809718,5.0,0.0,-0.18482674650537945,6.239750937113825,3.061171862263279
2.5,6.54404049633479,2.8432880291991594,-0.058351635456092815,5.0,0.0,-0.15168636657995638,6.2535084665155525,2.7278094733906624
2.6,7.043189509497174,2.8141287655078724,-0.0708072304769138,5.0,0.0,-0.12455595020820986,6.991954039346213,2.543402739346497
2.7,7.541936617121577,2.77875472649205,-0.08104080020484897,5.0,0.0,-0.10233569727935166,7.080450740850361,2.642896291275233
2.8000000000000003,8.040295612715376,2.7382786655332585,-0.08945367045288131,5.0,0.0,-0.08412870248032345,7.539341212675157,1.940681674760517
2.9000000000000004,8.538296456556703,2.693611456830155,-0.09637399099842613,5.0,0.0,-0.06920320545544811,9.050178279549499,2.2907235229342806
3.0,9.035976266672298,2.645499019734278,-0.10207018538197779,5.0,0.0,-0.05696194383551667,9.471194485143085,2.0133322038168595
3.1,9.533373946481358,2.5945524975707004,-0.10676191012350907,5.0,0.0,-0.04691724741531278,9.788868662138107,2.3037404895751497
3.2,10.03052712569009,2.541272891691431,-0.11062898836020252,5.0,0.0,-0.03867078236693455,9.547630853947146,2.953051804432345
3.3000000000000003,10.527470551725196,2.4860711587431688,-0.11381869509187088,5.0,0.0,-0.031897067316683625,10.253683116244693,2.18813959777735
3.4000000000000004,11.024235372713719,2.4292846055087898,-0.11645170031920019,5.0,0.0,-0.026330052273292992,11.030837289605927,2.6284513417902473
3.5,11.520848952619648,2.3711902662577327,-0.11862691898852736,5.0,0.0,-0.021752186693271724,12.158279082243064,1.531116680458444
3.6,12.01733498985186,2.312015822166942,-0.12042547015924501,5.0,0.0,-0.01798551170717655,12.66588366452027,2.3240276666258155
3.7,12.513713795862854,2.251948518722377,-0.12191391008141204,5.0,0.0,-0.014884399221670286,12.587250432683472,2.385839466926752
3.8000000000000003,13.01000264548244,2.1911424520573792,-0.12314687323155132,5.0,0.0,-0.012329631501392768,13.140633091261723,3.399242908479183
3.9000000000000004,13.506216146252875,2.12972452590264,-0.12416923045558749,5.0,0.0,-0.010223572240361634,13.320689001211745,2.1918178800325734
4.0,14.00236659664906,2.0677993244765425,-0.125017853123347,5.0,0.0,-0.008486226677595354,14.852252184339745,2.47078547819389
4.1000000000000005,14.498464317267965,2.0054531008801946,-0.12572305573188225,5.0,0.0,-0.007052026085352381,14.92514277319392,2.7706973628067795
4.2,14.994517947813652,1.9427570434088974,-0.12630977599539023,5.0,0.0,-0.005867202635079671,15.562419773563912,2.3678566849566907
4.3,15.490534707933174,1.8797699520287365,-0.12679854055266718,5.0,0.0,-0.00488764557276955,15.750612633050284,1.9006969051422238
4.4,15.986520622949172,1.8165404327695844,-0.12720625554253526,5.0,0.0,-0.0040771498986806876,16.642005157366672,2.0579702774971818
4.5,16.482480717118836,1.7531086978790889,-0.12754685406501245,5.0,0.0,-0.003405985224771868,16.53773489999034,1.869137167057615
4.6000000000000005,16.978419177766227,1.6895080433958511,-0.12783182665382797,5.0,0.0,-0.002849725888155241,16.87431488154488,1.004282267259292
4.7,17.474339493833277,1.6257660626299872,-0.12807065608451162,5.0,0.0,-0.0023882943068365137,17.31806648299602,0.9198043179645516
4.800000000000001,17.970244572295975,1.5619056433164038,-0.1282711739287853,5.0,0.0,-0.0020051784427366215,18.99269606928213,1.6716869189325492
4.9,18.466136835635613,1.49794578747002,-0.12843985307539094,5.0,0.0,-0.0016867914660565475,18.569482512329184,1.6640376577244234
5.0,18.962018303226674,1.433902285850158,-0.12858204783566832,5.0,0.0,-0.0014219476027736988,17.934636787311295,1.1433047960171008
5.1000000000000005,19.45789065915421,1.3697882731315827,-0.1287021911300745,5.0,0.0,-0.001201432944061942,19.91315460042873,1.2712442697971729
5.2,19.953755308634243,1.3056146851374286,-0.12880395652070803,5.0,0.0,-0.0010176539063353474,20.365617053547904,2.0188691506680234
5.300000000000001,20.449613424896402,1.241390635615903,-0.128890391442654,5.0,0.0,-0.0008643492194595481,20.005390998377322,1.7152174859277858
5.4,20.945465988105582,1.1771237268767643,-0.12896402683502087,5.0,0.0,-0.0007363539236688865,21.67630026034858,0.7889147322841641
5.5,21.441313817651427,1.1128203060138435,-0.12902696743336803,5.0,0.0,-0.0006294059834717203,22.082248491843266,0.43702258693824736
